object_number,drag,hf_global,hf_CT,hf_TR,hf_FM,mass,density
0,1.0,1.0,1.0487802514212197,1.407391478889575,1.0014758351924622,500.0,1.0305427497407709
1,1.0,1.0,1.0487802514212197,1.407391478889575,1.0014758351924622,33.0,1.0305427497407709
2,1.0,1.0,1.0487802514212197,1.407391478889575,1.0014758351924622,5.0,1.0305427497407709
3,1.0,1.0,1.0487802514212197,1.407391478889575,1.0014758351924622,19.0,1.0305427497407709
4,1.0,1.0,1.0487802514212197,1.407391478889575,1.0014758351924622,4.0,1.0305427497407709
5,1.0,1.0,1.0487802514212197,1.407391478889575,1.0014758351924622,13.0,1.0305427497407709
6,1.0,1.0,1.0487802514212197,1.407391478889575,1.0014758351924622,50.0,1.0305427497407709
7,1.0,1.0,1.0487802514212197,1.407391478889575,1.0014758351924622,50.0,1.0305427497407709
8,1.0,1.0,1.0487802514212197,1.407391478889575,1.0014758351924622,6.0,1.0305427497407709
9,1.0,1.0,1.0487802514212197,1.407391478889575,1.0014758351924622,17.0,1.0305427497407709
10,1.0,1.0,1.0487802514212197,1.407391478889575,1.0014758351924622,13.5,1.0305427497407709
11,1.0,1.0,1.0487802514212197,1.407391478889575,1.0014758351924622,4.0,1.0305427497407709
12,1.0,1.0,1.0487802514212197,1.407391478889575,1.0014758351924622,5.0,1.0305427497407709
13,1.0,1.0,1.0487802514212197,1.407391478889575,1.0014758351924622,6.7,1.0305427497407709
14,1.0,1.0,1.0487802514212197,1.407391478889575,1.0014758351924622,5.0,1.0305427497407709
15,1.0,1.0,1.0487802514212197,1.407391478889575,1.0014758351924622,6.7,1.0305427497407709
16,1.0,1.0,1.0487802514212197,1.407391478889575,1.0014758351924622,2.2,1.0305427497407709
17,1.0,1.0,1.0487802514212197,1.407391478889575,1.0014758351924622,2.2,1.0305427497407709
18,1.0,1.0,1.0487802514212197,1.407391478889575,1.0014758351924622,2.2,1.0305427497407709
19,1.0,1.0,1.0487802514212197,1.407391478889575,1.0014758351924622,3.5,1.0305427497407709
20,1.0,1.0,1.0487802514212197,1.407391478889575,1.0014758351924622,6.5,1.0305427497407709
21,1.0,1.0,1.0487802514212197,1.407391478889575,1.0014758351924622,11.3,1.0305427497407709
22,1.0,1.0,1.0487802514212197,1.407391478889575,1.0014758351924622,3.3,1.0305427497407709
23,1.0,1.0,1.0487802514212197,1.407391478889575,1.0014758351924622,3.3,1.0305427497407709
24,1.0,1.0,1.0487802514212197,1.407391478889575,1.0014758351924622,6.1,1.0305427497407709
25,1.0,1.0,1.0487802514212197,1.407391478889575,1.0014758351924622,6.1,1.0305427497407709
26,1.0,1.0,1.0487802514212197,1.407391478889575,1.0014758351924622,6.1,1.0305427497407709
27,1.0,1.0,1.0487802514212197,1.407391478889575,1.0014758351924622,4.5,1.0305427497407709
28,1.0,1.0,1.0487802514212197,1.407391478889575,1.0014758351924622,4.5,1.0305427497407709
29,1.0,1.0,1.0487802514212197,1.407391478889575,1.0014758351924622,3.3,1.0305427497407709
30,1.0,1.0,1.0487802514212197,1.407391478889575,1.0014758351924622,3.3,1.0305427497407709
