#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                         ---- DRAMA ( SESAM r2.3.0 ) ----
#                                      ESA 2018
#
#                         final state of uncritical objects
#-------------------------------------------------------------------------------
# Filename      : uncriticalData.txt
# RunID         : PySara
# Content       : This file lists the uncritical objects (kin. energy < 15 J),
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach                UniqueID                  Name
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   417.100          74.007    -42.475   -112.889            6.910         3309.473      1.204      0.000      0.000    0.00527   21.44010  c819661c-34ef-46e7-b1eb-890ade42e3af  PCU
   404.100          75.020    -41.593   -112.626            6.854         3208.903      1.041      0.000      0.000    0.00529   21.38179  c0ddc3c0-47ce-435f-9deb-b33486eaf601  BCU
   438.844          71.862    -43.836   -113.308            5.595         3464.777      1.004      0.000      0.000    0.00234   17.33128  1f19522d-2f3c-43e6-a00c-b01d1ab94228  PPDU
   417.100          73.988    -42.465   -112.886            6.646         3308.373      1.229      0.000      0.000    0.00462   20.67697  a68c82cf-50d9-4d72-b8e8-fb77b034ddcc  Decoder
   456.921          70.253    -45.052   -113.695            5.585         3603.638      1.154      0.000      0.000    0.00191   17.13369  56f33935-71e7-4b62-bc25-5f086ef8f008  CTU
   438.357          72.101    -43.859   -113.315            6.046         3467.451      1.265      0.000      0.000    0.00271   18.68291  e603a0ac-b50a-49ba-94e7-c8487de979d7  RTU
   412.487          74.340    -42.148   -112.791            6.321         3272.268      0.976      0.000      0.000    0.00546   19.75872  0e801314-4be9-4a8e-8863-be55cd8972a8  MBU
   425.759          73.283    -43.046   -113.063            6.266         3374.621      1.111      0.000      0.000    0.00502   19.52497  9da080c0-a677-4e48-9413-7396776e2156  X-PND1
   431.951          72.787    -43.464   -113.192            6.232         3422.322      1.242      0.000      0.000    0.00458   19.39086  c287fba3-8bbe-4179-bca3-e0297868e371  TRU1
   425.759          73.283    -43.046   -113.063            6.266         3374.621      1.111      0.000      0.000    0.00502   19.52497  937ad039-148d-4738-aeef-7ba048002fe8  X-PND2
   431.951          72.787    -43.464   -113.192            6.232         3422.322      1.242      0.000      0.000    0.00458   19.39086  197bea65-bd7c-4823-addb-ea50438d3765  TRU2
   425.100          73.470    -43.052   -113.065            7.361         3375.339      0.915      0.000      0.000    0.00219   22.73269  b9715501-449b-451c-a5a4-f4d9347e2f59  MTR1
   425.100          73.470    -43.052   -113.065            7.361         3375.339      0.915      0.000      0.000    0.00219   22.73269  84879cea-7d5c-4089-841e-3521c24c746a  MTR2
   425.100          73.470    -43.052   -113.065            7.361         3375.339      0.915      0.000      0.000    0.00219   22.73269  e7d005bd-2d30-4a52-9e61-1e8b09175adb  MTR3
   408.100          74.712    -41.864   -112.706            6.775         3239.792      1.004      0.000      0.000    0.00554   21.12923  0f2288de-76e2-422f-8b97-5b27ae9b0726  MRU
   430.619          72.780    -43.343   -113.155            6.047         3408.577      1.065      0.000      0.000    0.00401   18.78488  c190928b-6fde-4737-b38b-d6640dd3ce29  ACC
   435.400          72.217    -43.621   -113.241            5.059         3440.275      1.001      0.000      0.000    0.00260   15.73430  5bc781a5-30a8-496a-8919-d3a3bbe9e65a  PDU
   408.100          74.695    -41.851   -112.702            6.242         3238.328      0.928      0.000      0.000    0.00577   19.60450  8dd6e192-40c1-4d95-82a7-e0edd97e769a  Gyro2
