object_number,drag,hf_global,hf_CT,hf_TR,hf_FM,mass,density
0,1.0,1.0,1.0311864292577377,0.8266809947779581,0.9507217104627861,500.0,1.0401865354271185
1,1.0,1.0,1.0311864292577377,0.8266809947779581,0.9507217104627861,33.0,1.0401865354271185
2,1.0,1.0,1.0311864292577377,0.8266809947779581,0.9507217104627861,5.0,1.0401865354271185
3,1.0,1.0,1.0311864292577377,0.8266809947779581,0.9507217104627861,19.0,1.0401865354271185
4,1.0,1.0,1.0311864292577377,0.8266809947779581,0.9507217104627861,4.0,1.0401865354271185
5,1.0,1.0,1.0311864292577377,0.8266809947779581,0.9507217104627861,13.0,1.0401865354271185
6,1.0,1.0,1.0311864292577377,0.8266809947779581,0.9507217104627861,50.0,1.0401865354271185
7,1.0,1.0,1.0311864292577377,0.8266809947779581,0.9507217104627861,50.0,1.0401865354271185
8,1.0,1.0,1.0311864292577377,0.8266809947779581,0.9507217104627861,6.0,1.0401865354271185
9,1.0,1.0,1.0311864292577377,0.8266809947779581,0.9507217104627861,17.0,1.0401865354271185
10,1.0,1.0,1.0311864292577377,0.8266809947779581,0.9507217104627861,13.5,1.0401865354271185
11,1.0,1.0,1.0311864292577377,0.8266809947779581,0.9507217104627861,4.0,1.0401865354271185
12,1.0,1.0,1.0311864292577377,0.8266809947779581,0.9507217104627861,5.0,1.0401865354271185
13,1.0,1.0,1.0311864292577377,0.8266809947779581,0.9507217104627861,6.7,1.0401865354271185
14,1.0,1.0,1.0311864292577377,0.8266809947779581,0.9507217104627861,5.0,1.0401865354271185
15,1.0,1.0,1.0311864292577377,0.8266809947779581,0.9507217104627861,6.7,1.0401865354271185
16,1.0,1.0,1.0311864292577377,0.8266809947779581,0.9507217104627861,2.2,1.0401865354271185
17,1.0,1.0,1.0311864292577377,0.8266809947779581,0.9507217104627861,2.2,1.0401865354271185
18,1.0,1.0,1.0311864292577377,0.8266809947779581,0.9507217104627861,2.2,1.0401865354271185
19,1.0,1.0,1.0311864292577377,0.8266809947779581,0.9507217104627861,3.5,1.0401865354271185
20,1.0,1.0,1.0311864292577377,0.8266809947779581,0.9507217104627861,6.5,1.0401865354271185
21,1.0,1.0,1.0311864292577377,0.8266809947779581,0.9507217104627861,11.3,1.0401865354271185
22,1.0,1.0,1.0311864292577377,0.8266809947779581,0.9507217104627861,3.3,1.0401865354271185
23,1.0,1.0,1.0311864292577377,0.8266809947779581,0.9507217104627861,3.3,1.0401865354271185
24,1.0,1.0,1.0311864292577377,0.8266809947779581,0.9507217104627861,6.1,1.0401865354271185
25,1.0,1.0,1.0311864292577377,0.8266809947779581,0.9507217104627861,6.1,1.0401865354271185
26,1.0,1.0,1.0311864292577377,0.8266809947779581,0.9507217104627861,6.1,1.0401865354271185
27,1.0,1.0,1.0311864292577377,0.8266809947779581,0.9507217104627861,4.5,1.0401865354271185
28,1.0,1.0,1.0311864292577377,0.8266809947779581,0.9507217104627861,4.5,1.0401865354271185
29,1.0,1.0,1.0311864292577377,0.8266809947779581,0.9507217104627861,3.3,1.0401865354271185
30,1.0,1.0,1.0311864292577377,0.8266809947779581,0.9507217104627861,3.3,1.0401865354271185
31,1.0,1.0,1.0311864292577377,0.8266809947779581,0.9507217104627861,3.3,1.0401865354271185
