object_number,drag,hf_global,hf_CT,hf_TR,hf_FM,mass,density
0,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,500.0,1.0371753502705519
1,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,33.0,1.0371753502705519
2,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,5.0,1.0371753502705519
3,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,19.0,1.0371753502705519
4,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,4.0,1.0371753502705519
5,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,13.0,1.0371753502705519
6,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,50.0,1.0371753502705519
7,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,50.0,1.0371753502705519
8,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,6.0,1.0371753502705519
9,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,17.0,1.0371753502705519
10,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,13.5,1.0371753502705519
11,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,4.0,1.0371753502705519
12,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,5.0,1.0371753502705519
13,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,6.7,1.0371753502705519
14,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,5.0,1.0371753502705519
15,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,6.7,1.0371753502705519
16,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,2.2,1.0371753502705519
17,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,2.2,1.0371753502705519
18,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,2.2,1.0371753502705519
19,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,3.5,1.0371753502705519
20,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,6.5,1.0371753502705519
21,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,11.3,1.0371753502705519
22,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,3.3,1.0371753502705519
23,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,3.3,1.0371753502705519
24,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,6.1,1.0371753502705519
25,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,6.1,1.0371753502705519
26,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,6.1,1.0371753502705519
27,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,4.5,1.0371753502705519
28,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,4.5,1.0371753502705519
29,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,3.3,1.0371753502705519
30,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,3.3,1.0371753502705519
31,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,3.3,1.0371753502705519
32,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,3.0,1.0371753502705519
33,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,3.0,1.0371753502705519
34,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,3.0,1.0371753502705519
35,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,20.0,1.0371753502705519
36,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,20.0,1.0371753502705519
37,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,20.0,1.0371753502705519
38,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,20.0,1.0371753502705519
39,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,0.3,1.0371753502705519
40,1.0,1.0,0.796497949293628,0.7690985675907834,1.007238224775576,0.3,1.0371753502705519
