#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                         ---- DRAMA ( SESAM r2.3.0 ) ----
#                                      ESA 2018
#
#                         final state of uncritical objects
#-------------------------------------------------------------------------------
# Filename      : uncriticalData.txt
# RunID         : PySara
# Content       : This file lists the uncritical objects (kin. energy < 15 J),
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach                UniqueID                  Name
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1596.305          12.264    -46.003   -114.004            0.012         3712.258      0.539      0.000      0.000    0.00000    0.03968  f96060ed-428d-4fb5-8368-873633a99715  TCU
   412.100          73.680    -42.070   -112.767            6.488         3263.290      1.204      0.000      0.000    0.00502   22.67751  c819661c-34ef-46e7-b1eb-890ade42e3af  PCU
  1247.676          19.883    -44.901   -113.643            0.017         3586.287      0.467      0.000      0.000    0.00000    0.05699  ae939109-80e7-4590-ada6-8ab74859c3a8  BCDR
   400.100          74.744    -41.258   -112.527            6.145         3170.719      1.041      0.000      0.000    0.00507   21.68773  c0ddc3c0-47ce-435f-9deb-b33486eaf601  BCU
   412.100          73.657    -42.061   -112.764            6.441         3262.312      1.229      0.000      0.000    0.00440   22.50743  a68c82cf-50d9-4d72-b8e8-fb77b034ddcc  Decoder
   433.980          71.394    -43.459   -113.190            5.531         3421.802      1.265      0.000      0.000    0.00245   19.23593  e603a0ac-b50a-49ba-94e7-c8487de979d7  RTU
   408.100          74.003    -41.782   -112.681            6.157         3230.511      0.976      0.000      0.000    0.00520   21.61867  0e801314-4be9-4a8e-8863-be55cd8972a8  MBU
   420.100          72.915    -42.588   -112.923            5.917         3322.435      1.111      0.000      0.000    0.00475   20.75427  9da080c0-a677-4e48-9413-7396776e2156  X-PND1
   425.935          72.372    -42.982   -113.043            5.967         3367.337      1.242      0.000      0.000    0.00430   20.84971  c287fba3-8bbe-4179-bca3-e0297868e371  TRU1
   420.100          72.915    -42.588   -112.923            5.917         3322.435      1.111      0.000      0.000    0.00475   20.75427  937ad039-148d-4738-aeef-7ba048002fe8  X-PND2
   425.935          72.372    -42.982   -113.043            5.967         3367.337      1.242      0.000      0.000    0.00430   20.84971  197bea65-bd7c-4823-addb-ea50438d3765  TRU2
   417.100          73.339    -42.456   -112.883            7.198         3307.317      0.915      0.000      0.000    0.00215   25.01354  b9715501-449b-451c-a5a4-f4d9347e2f59  MTR1
