#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                         ---- DRAMA ( SESAM r2.3.0 ) ----
#                                      ESA 2018
#
#                         final state of ballooning objects
#-------------------------------------------------------------------------------
# Filename      : ballooningData.txt
# RunID         : PySara
# Content       : This file lists the ballooning objects,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach                UniqueID                  Name
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   430.583          71.564    -43.186   -113.105            2.272         3390.556      1.204      0.000      0.000    0.00367    8.06553  c819661c-34ef-46e7-b1eb-890ade42e3af  PCU
   415.232          73.109    -42.162   -112.794            2.239         3273.795      1.041      0.000      0.000    0.00397    7.98876  c0ddc3c0-47ce-435f-9deb-b33486eaf601  BCU
   431.539          71.407    -43.209   -113.112            2.093         3393.187      1.229      0.000      0.000    0.00316    7.39345  a68c82cf-50d9-4d72-b8e8-fb77b034ddcc  Decoder
   426.830          71.857    -42.867   -113.008            2.095         3354.273      0.976      0.000      0.000    0.00378    7.40741  0e801314-4be9-4a8e-8863-be55cd8972a8  MBU
   441.303          70.337    -43.843   -113.309            2.367         3465.577      1.111      0.000      0.000    0.00327    8.31734  9da080c0-a677-4e48-9413-7396776e2156  X-PND1
   448.672          69.545    -44.323   -113.461            2.035         3520.378      1.242      0.000      0.000    0.00288    7.10006  c287fba3-8bbe-4179-bca3-e0297868e371  TRU1
   441.303          70.337    -43.843   -113.309            2.367         3465.577      1.111      0.000      0.000    0.00327    8.31734  937ad039-148d-4738-aeef-7ba048002fe8  X-PND2
   448.672          69.545    -44.323   -113.461            2.035         3520.378      1.242      0.000      0.000    0.00288    7.10006  197bea65-bd7c-4823-addb-ea50438d3765  TRU2
   419.677          72.679    -42.463   -112.885            2.344         3308.184      1.004      0.000      0.000    0.00409    8.36914  0f2288de-76e2-422f-8b97-5b27ae9b0726  MRU
   420.129          72.578    -42.456   -112.883            2.420         3307.315      0.928      0.000      0.000    0.00420    8.62373  8dd6e192-40c1-4d95-82a7-e0edd97e769a  Gyro2
   420.129          72.578    -42.456   -112.883            2.420         3307.315      0.928      0.000      0.000    0.00420    8.62373  bb912958-2642-4cbc-b737-06295400219b  Gyro1
   432.732          71.182    -43.224   -113.117            2.222         3394.931      1.097      0.000      0.000    0.00348    7.82343  73aad817-0c8f-4729-8cfc-bdb457fa3af1  RWE1
   432.732          71.182    -43.224   -113.117            2.222         3394.931      1.097      0.000      0.000    0.00348    7.82343  cbd88e14-9f02-4477-ba19-2ae766ccf9c2  RWE2
   423.733          72.309    -42.759   -112.975            2.387         3341.864      1.136      0.000      0.000    0.00482    8.47686  f846371b-1403-415a-b518-e78f9a87d5e8  STRE1
   423.733          72.309    -42.759   -112.975            2.387         3341.864      1.136      0.000      0.000    0.00482    8.47686  019e359a-7b6d-4e88-ae45-6c0cb1b9f231  STRE2
   423.733          72.309    -42.759   -112.975            2.387         3341.864      1.136      0.000      0.000    0.00482    8.47686  1c53a534-00ac-486c-b9b2-0e0baa3dd619  STRE3
   431.555          71.517    -43.274   -113.132            2.042         3400.594      1.136      0.000      0.000    0.00463    7.22032  cf475c8e-4dd9-43c4-93e1-443e41ca045a  STR1
   431.555          71.517    -43.274   -113.132            2.042         3400.594      1.136      0.000      0.000    0.00463    7.22032  b96f24b8-3482-41b4-8ff7-10c9d0096fe0  STR2
   431.555          71.517    -43.274   -113.132            2.042         3400.594      1.136      0.000      0.000    0.00463    7.22032  d97c8a48-c211-4c49-8222-dd2e42cdea91  STR3
   438.146          70.498    -43.526   -113.210            2.394         3429.406      1.051      0.000      0.000    0.00292    8.38770  6eeaa09a-906e-4f96-a8c8-21bf581813b5  PLE3
   438.194          70.773    -43.687   -113.260            2.280         3447.732      0.900      0.000      0.000    0.00281    8.05536  c5961bc0-58db-4518-85cb-9d7fef46573c  PL4a1
   438.194          70.773    -43.687   -113.260            2.280         3447.732      0.900      0.000      0.000    0.00281    8.05536  472587ed-e637-49d6-9630-2ab84943f807  PL4a2
   438.194          70.773    -43.687   -113.260            2.280         3447.732      0.900      0.000      0.000    0.00281    8.05536  d0247ab6-f3f0-4a2e-88f3-b40a9f9c2f8b  PL4a3
   438.194          70.773    -43.687   -113.260            2.280         3447.732      0.900      0.000      0.000    0.00281    8.05536  d7860001-2d1f-4f10-9b6b-132541453973  PL4a4
   391.529          75.413    -40.630   -112.344            2.346         3099.228      0.910      0.000      0.000    0.00544    8.47214  e97e0bad-27a1-41c8-9d5a-9b47ac34faa9  PLE3c
   448.132          69.275    -44.092   -113.387            2.230         3493.986      1.095      0.000      0.000    0.00197    7.72828  56f0d198-bc1f-47a6-b695-7e804d590123  PLE3b
