object_number,drag,hf_global,hf_CT,hf_TR,hf_FM,mass,density
0,1.0,1.0,1.1447256673351562,0.589207440926622,0.9024827793811949,500.0,1.0327559645569515
1,1.0,1.0,1.1447256673351562,0.589207440926622,0.9024827793811949,33.0,1.0327559645569515
2,1.0,1.0,1.1447256673351562,0.589207440926622,0.9024827793811949,5.0,1.0327559645569515
3,1.0,1.0,1.1447256673351562,0.589207440926622,0.9024827793811949,19.0,1.0327559645569515
4,1.0,1.0,1.1447256673351562,0.589207440926622,0.9024827793811949,4.0,1.0327559645569515
5,1.0,1.0,1.1447256673351562,0.589207440926622,0.9024827793811949,13.0,1.0327559645569515
6,1.0,1.0,1.1447256673351562,0.589207440926622,0.9024827793811949,50.0,1.0327559645569515
7,1.0,1.0,1.1447256673351562,0.589207440926622,0.9024827793811949,50.0,1.0327559645569515
8,1.0,1.0,1.1447256673351562,0.589207440926622,0.9024827793811949,6.0,1.0327559645569515
9,1.0,1.0,1.1447256673351562,0.589207440926622,0.9024827793811949,17.0,1.0327559645569515
10,1.0,1.0,1.1447256673351562,0.589207440926622,0.9024827793811949,13.5,1.0327559645569515
11,1.0,1.0,1.1447256673351562,0.589207440926622,0.9024827793811949,4.0,1.0327559645569515
12,1.0,1.0,1.1447256673351562,0.589207440926622,0.9024827793811949,5.0,1.0327559645569515
13,1.0,1.0,1.1447256673351562,0.589207440926622,0.9024827793811949,6.7,1.0327559645569515
14,1.0,1.0,1.1447256673351562,0.589207440926622,0.9024827793811949,5.0,1.0327559645569515
15,1.0,1.0,1.1447256673351562,0.589207440926622,0.9024827793811949,6.7,1.0327559645569515
16,1.0,1.0,1.1447256673351562,0.589207440926622,0.9024827793811949,2.2,1.0327559645569515
17,1.0,1.0,1.1447256673351562,0.589207440926622,0.9024827793811949,2.2,1.0327559645569515
18,1.0,1.0,1.1447256673351562,0.589207440926622,0.9024827793811949,2.2,1.0327559645569515
19,1.0,1.0,1.1447256673351562,0.589207440926622,0.9024827793811949,3.5,1.0327559645569515
20,1.0,1.0,1.1447256673351562,0.589207440926622,0.9024827793811949,6.5,1.0327559645569515
21,1.0,1.0,1.1447256673351562,0.589207440926622,0.9024827793811949,11.3,1.0327559645569515
22,1.0,1.0,1.1447256673351562,0.589207440926622,0.9024827793811949,3.3,1.0327559645569515
23,1.0,1.0,1.1447256673351562,0.589207440926622,0.9024827793811949,3.3,1.0327559645569515
24,1.0,1.0,1.1447256673351562,0.589207440926622,0.9024827793811949,6.1,1.0327559645569515
25,1.0,1.0,1.1447256673351562,0.589207440926622,0.9024827793811949,6.1,1.0327559645569515
26,1.0,1.0,1.1447256673351562,0.589207440926622,0.9024827793811949,6.1,1.0327559645569515
27,1.0,1.0,1.1447256673351562,0.589207440926622,0.9024827793811949,4.5,1.0327559645569515
