#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                         ---- DRAMA ( SESAM r2.3.0 ) ----
#                                      ESA 2018
#
#                         final state of ballooning objects
#-------------------------------------------------------------------------------
# Filename      : ballooningData.txt
# RunID         : PySara
# Content       : This file lists the ballooning objects,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach                UniqueID                  Name
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   435.099          71.014    -43.437   -113.183            2.313         3419.233      1.204      0.000      0.000    0.00340    8.15355  c819661c-34ef-46e7-b1eb-890ade42e3af  PCU
   419.464          72.632    -42.392   -112.864            2.426         3300.053      1.041      0.000      0.000    0.00370    8.61532  c0ddc3c0-47ce-435f-9deb-b33486eaf601  BCU
   436.774          70.753    -43.490   -113.199            2.237         3425.338      1.229      0.000      0.000    0.00288    7.84423  a68c82cf-50d9-4d72-b8e8-fb77b034ddcc  Decoder
   431.653          71.253    -43.124   -113.086            2.350         3383.508      0.976      0.000      0.000    0.00347    8.27543  0e801314-4be9-4a8e-8863-be55cd8972a8  MBU
   445.835          69.761    -44.076   -113.382            2.163         3492.190      1.111      0.000      0.000    0.00302    7.53339  9da080c0-a677-4e48-9413-7396776e2156  X-PND1
   453.878          68.851    -44.597   -113.548            2.102         3551.671      1.242      0.000      0.000    0.00261    7.27868  c287fba3-8bbe-4179-bca3-e0297868e371  TRU1
   445.835          69.761    -44.076   -113.382            2.163         3492.190      1.111      0.000      0.000    0.00302    7.53339  937ad039-148d-4738-aeef-7ba048002fe8  X-PND2
   453.878          68.851    -44.597   -113.548            2.102         3551.671      1.242      0.000      0.000    0.00261    7.27868  197bea65-bd7c-4823-addb-ea50438d3765  TRU2
   424.023          72.175    -42.705   -112.958            2.311         3335.749      1.004      0.000      0.000    0.00379    8.18659  0f2288de-76e2-422f-8b97-5b27ae9b0726  MRU
   424.649          72.052    -42.693   -112.954            2.219         3334.352      0.928      0.000      0.000    0.00389    7.84449  8dd6e192-40c1-4d95-82a7-e0edd97e769a  Gyro2
   424.649          72.052    -42.693   -112.954            2.219         3334.352      0.928      0.000      0.000    0.00389    7.84449  bb912958-2642-4cbc-b737-06295400219b  Gyro1
   438.057          70.495    -43.495   -113.200            2.272         3425.814      1.097      0.000      0.000    0.00316    7.94294  73aad817-0c8f-4729-8cfc-bdb457fa3af1  RWE1
   438.057          70.495    -43.495   -113.200            2.272         3425.814      1.097      0.000      0.000    0.00316    7.94294  cbd88e14-9f02-4477-ba19-2ae766ccf9c2  RWE2
   422.861          72.422    -42.695   -112.955            2.379         3334.642      1.136      0.000      0.000    0.00490    8.45075  f846371b-1403-415a-b518-e78f9a87d5e8  STRE1
   422.861          72.422    -42.695   -112.955            2.379         3334.642      1.136      0.000      0.000    0.00490    8.45075  019e359a-7b6d-4e88-ae45-6c0cb1b9f231  STRE2
   422.861          72.422    -42.695   -112.955            2.379         3334.642      1.136      0.000      0.000    0.00490    8.45075  1c53a534-00ac-486c-b9b2-0e0baa3dd619  STRE3
   428.202          71.921    -43.061   -113.067            2.156         3376.374      1.136      0.000      0.000    0.00491    7.65143  cf475c8e-4dd9-43c4-93e1-443e41ca045a  STR1
   428.202          71.921    -43.061   -113.067            2.156         3376.374      1.136      0.000      0.000    0.00491    7.65143  b96f24b8-3482-41b4-8ff7-10c9d0096fe0  STR2
   428.202          71.921    -43.061   -113.067            2.156         3376.374      1.136      0.000      0.000    0.00491    7.65143  d97c8a48-c211-4c49-8222-dd2e42cdea91  STR3
   443.524          70.101    -43.983   -113.353            2.397         3481.538      0.900      0.000      0.000    0.00256    8.39668  c5961bc0-58db-4518-85cb-9d7fef46573c  PL4a1
   443.524          70.101    -43.983   -113.353            2.397         3481.538      0.900      0.000      0.000    0.00256    8.39668  472587ed-e637-49d6-9630-2ab84943f807  PL4a2
   443.524          70.101    -43.983   -113.353            2.397         3481.538      0.900      0.000      0.000    0.00256    8.39668  d0247ab6-f3f0-4a2e-88f3-b40a9f9c2f8b  PL4a3
   443.524          70.101    -43.983   -113.353            2.397         3481.538      0.900      0.000      0.000    0.00256    8.39668  d7860001-2d1f-4f10-9b6b-132541453973  PL4a4
   394.122          75.168    -40.775   -112.386            2.341         3115.663      0.910      0.000      0.000    0.00524    8.41909  e97e0bad-27a1-41c8-9d5a-9b47ac34faa9  PLE3c
