object_number,drag,hf_global,hf_CT,hf_TR,hf_FM,mass,density
0,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,500.0,0.9065906329709663
1,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,33.0,0.9065906329709663
2,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,5.0,0.9065906329709663
3,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,19.0,0.9065906329709663
4,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,4.0,0.9065906329709663
5,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,13.0,0.9065906329709663
6,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,50.0,0.9065906329709663
7,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,50.0,0.9065906329709663
8,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,6.0,0.9065906329709663
9,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,17.0,0.9065906329709663
10,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,13.5,0.9065906329709663
11,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,4.0,0.9065906329709663
12,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,5.0,0.9065906329709663
13,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,6.7,0.9065906329709663
14,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,5.0,0.9065906329709663
15,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,6.7,0.9065906329709663
16,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,2.2,0.9065906329709663
17,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,2.2,0.9065906329709663
18,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,2.2,0.9065906329709663
19,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,3.5,0.9065906329709663
20,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,6.5,0.9065906329709663
21,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,11.3,0.9065906329709663
22,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,3.3,0.9065906329709663
23,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,3.3,0.9065906329709663
24,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,6.1,0.9065906329709663
25,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,6.1,0.9065906329709663
26,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,6.1,0.9065906329709663
27,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,4.5,0.9065906329709663
28,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,4.5,0.9065906329709663
29,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,3.3,0.9065906329709663
30,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,3.3,0.9065906329709663
31,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,3.3,0.9065906329709663
32,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,3.0,0.9065906329709663
33,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,3.0,0.9065906329709663
34,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,3.0,0.9065906329709663
35,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,20.0,0.9065906329709663
36,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,20.0,0.9065906329709663
37,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,20.0,0.9065906329709663
38,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,20.0,0.9065906329709663
39,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,0.3,0.9065906329709663
40,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,0.3,0.9065906329709663
41,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,0.3,0.9065906329709663
42,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,0.3,0.9065906329709663
43,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,0.3,0.9065906329709663
44,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,0.3,0.9065906329709663
45,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,0.3,0.9065906329709663
46,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,0.3,0.9065906329709663
47,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,0.3,0.9065906329709663
48,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,0.3,0.9065906329709663
49,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,0.3,0.9065906329709663
50,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,0.3,0.9065906329709663
51,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,18.0,0.9065906329709663
52,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,15.5,0.9065906329709663
53,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,5.3,0.9065906329709663
54,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,45.0,0.9065906329709663
55,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,6.283,0.9065906329709663
56,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,6.283,0.9065906329709663
57,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,6.283,0.9065906329709663
58,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,6.283,0.9065906329709663
59,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,1.9,0.9065906329709663
60,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,1.9,0.9065906329709663
61,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,1.9,0.9065906329709663
62,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,2.0,0.9065906329709663
63,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,18.0,0.9065906329709663
64,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,1.9,0.9065906329709663
65,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,8.0,0.9065906329709663
66,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,50.0,0.9065906329709663
67,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,67.512,0.9065906329709663
68,1.0,1.0,0.9334026525139278,0.721163439288223,1.0108901307701663,67.512,0.9065906329709663
