object_number,drag,hf_global,hf_CT,hf_TR,hf_FM,mass,density
0,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,500.0,1.149457198756066
1,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,33.0,1.149457198756066
2,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,5.0,1.149457198756066
3,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,19.0,1.149457198756066
4,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,4.0,1.149457198756066
5,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,13.0,1.149457198756066
6,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,50.0,1.149457198756066
7,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,50.0,1.149457198756066
8,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,6.0,1.149457198756066
9,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,17.0,1.149457198756066
10,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,13.5,1.149457198756066
11,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,4.0,1.149457198756066
12,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,5.0,1.149457198756066
13,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,6.7,1.149457198756066
14,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,5.0,1.149457198756066
15,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,6.7,1.149457198756066
16,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,2.2,1.149457198756066
17,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,2.2,1.149457198756066
18,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,2.2,1.149457198756066
19,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,3.5,1.149457198756066
20,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,6.5,1.149457198756066
21,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,11.3,1.149457198756066
22,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,3.3,1.149457198756066
23,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,3.3,1.149457198756066
24,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,6.1,1.149457198756066
25,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,6.1,1.149457198756066
26,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,6.1,1.149457198756066
27,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,4.5,1.149457198756066
28,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,4.5,1.149457198756066
29,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,3.3,1.149457198756066
30,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,3.3,1.149457198756066
31,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,3.3,1.149457198756066
32,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,3.0,1.149457198756066
33,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,3.0,1.149457198756066
34,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,3.0,1.149457198756066
35,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,20.0,1.149457198756066
36,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,20.0,1.149457198756066
37,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,20.0,1.149457198756066
38,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,20.0,1.149457198756066
39,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,0.3,1.149457198756066
40,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,0.3,1.149457198756066
41,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,0.3,1.149457198756066
42,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,0.3,1.149457198756066
43,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,0.3,1.149457198756066
44,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,0.3,1.149457198756066
45,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,0.3,1.149457198756066
46,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,0.3,1.149457198756066
47,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,0.3,1.149457198756066
48,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,0.3,1.149457198756066
49,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,0.3,1.149457198756066
50,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,0.3,1.149457198756066
51,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,18.0,1.149457198756066
52,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,15.5,1.149457198756066
53,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,5.3,1.149457198756066
54,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,45.0,1.149457198756066
55,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,6.283,1.149457198756066
56,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,6.283,1.149457198756066
57,1.0,1.0,0.7364054789362798,0.7722405857682086,0.9845766556602304,6.283,1.149457198756066
