#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                         ---- DRAMA ( SESAM r2.3.0 ) ----
#                                      ESA 2018
#
#                         final state of ballooning objects
#-------------------------------------------------------------------------------
# Filename      : ballooningData.txt
# RunID         : PySara
# Content       : This file lists the ballooning objects,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach                UniqueID                  Name
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   437.621          70.823    -43.597   -113.232            2.452         3437.484      1.204      0.000      0.000    0.00331    8.52564  c819661c-34ef-46e7-b1eb-890ade42e3af  PCU
   421.657          72.472    -42.527   -112.904            2.426         3315.482      1.041      0.000      0.000    0.00361    8.48829  c0ddc3c0-47ce-435f-9deb-b33486eaf601  BCU
   439.414          70.538    -43.655   -113.250            2.348         3444.086      1.229      0.000      0.000    0.00279    8.12693  a68c82cf-50d9-4d72-b8e8-fb77b034ddcc  Decoder
   434.414          71.033    -43.281   -113.134            2.172         3401.451      0.976      0.000      0.000    0.00336    7.52334  0e801314-4be9-4a8e-8863-be55cd8972a8  MBU
   448.617          69.531    -44.252   -113.438            2.326         3512.215      1.111      0.000      0.000    0.00293    7.99908  9da080c0-a677-4e48-9413-7396776e2156  X-PND1
   456.834          68.597    -44.786   -113.608            2.313         3573.230      1.242      0.000      0.000    0.00252    7.91291  c287fba3-8bbe-4179-bca3-e0297868e371  TRU1
   448.617          69.531    -44.252   -113.438            2.326         3512.215      1.111      0.000      0.000    0.00293    7.99908  937ad039-148d-4738-aeef-7ba048002fe8  X-PND2
   456.834          68.597    -44.786   -113.608            2.313         3573.230      1.242      0.000      0.000    0.00252    7.91291  197bea65-bd7c-4823-addb-ea50438d3765  TRU2
   426.319          72.007    -42.848   -113.002            2.368         3352.063      1.004      0.000      0.000    0.00370    8.27162  0f2288de-76e2-422f-8b97-5b27ae9b0726  MRU
   426.960          71.876    -42.833   -112.997            2.253         3350.382      0.928      0.000      0.000    0.00379    7.85189  8dd6e192-40c1-4d95-82a7-e0edd97e769a  Gyro2
   426.960          71.876    -42.833   -112.997            2.253         3350.382      0.928      0.000      0.000    0.00379    7.85189  bb912958-2642-4cbc-b737-06295400219b  Gyro1
   440.645          70.269    -43.655   -113.250            2.382         3444.112      1.097      0.000      0.000    0.00306    8.21183  73aad817-0c8f-4729-8cfc-bdb457fa3af1  RWE1
   440.645          70.269    -43.655   -113.250            2.382         3444.112      1.097      0.000      0.000    0.00306    8.21183  cbd88e14-9f02-4477-ba19-2ae766ccf9c2  RWE2
   424.973          72.285    -42.833   -112.997            2.375         3350.295      1.136      0.000      0.000    0.00480    8.33315  f846371b-1403-415a-b518-e78f9a87d5e8  STRE1
   424.973          72.285    -42.833   -112.997            2.375         3350.295      1.136      0.000      0.000    0.00480    8.33315  019e359a-7b6d-4e88-ae45-6c0cb1b9f231  STRE2
   424.973          72.285    -42.833   -112.997            2.375         3350.295      1.136      0.000      0.000    0.00480    8.33315  1c53a534-00ac-486c-b9b2-0e0baa3dd619  STRE3
   430.616          71.763    -43.215   -113.114            2.121         3393.877      1.136      0.000      0.000    0.00480    7.41225  cf475c8e-4dd9-43c4-93e1-443e41ca045a  STR1
   430.616          71.763    -43.215   -113.114            2.121         3393.877      1.136      0.000      0.000    0.00480    7.41225  b96f24b8-3482-41b4-8ff7-10c9d0096fe0  STR2
   430.616          71.763    -43.215   -113.114            2.121         3393.877      1.136      0.000      0.000    0.00480    7.41225  d97c8a48-c211-4c49-8222-dd2e42cdea91  STR3
   446.428          69.876    -44.160   -113.409            2.189         3501.812      0.900      0.000      0.000    0.00248    7.55178  c5961bc0-58db-4518-85cb-9d7fef46573c  PL4a1
   446.428          69.876    -44.160   -113.409            2.189         3501.812      0.900      0.000      0.000    0.00248    7.55178  472587ed-e637-49d6-9630-2ab84943f807  PL4a2
   446.428          69.876    -44.160   -113.409            2.189         3501.812      0.900      0.000      0.000    0.00248    7.55178  d0247ab6-f3f0-4a2e-88f3-b40a9f9c2f8b  PL4a3
   446.428          69.876    -44.160   -113.409            2.189         3501.812      0.900      0.000      0.000    0.00248    7.55178  d7860001-2d1f-4f10-9b6b-132541453973  PL4a4
   395.357          75.100    -40.857   -112.410            2.719         3125.010      0.910      0.000      0.000    0.00518    9.65213  e97e0bad-27a1-41c8-9d5a-9b47ac34faa9  PLE3c
