#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                         ---- DRAMA ( SESAM r2.3.0 ) ----
#                                      ESA 2018
#
#                         final state of uncritical objects
#-------------------------------------------------------------------------------
# Filename      : uncriticalData.txt
# RunID         : PySara
# Content       : This file lists the uncritical objects (kin. energy < 15 J),
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach                UniqueID                  Name
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   403.100          74.181    -41.454   -112.584            6.282         3193.081      1.204      0.000      0.000    0.00541   23.40740  c819661c-34ef-46e7-b1eb-890ade42e3af  PCU
   392.100          75.177    -40.718   -112.370            6.630         3109.245      1.041      0.000      0.000    0.00541   24.69205  c0ddc3c0-47ce-435f-9deb-b33486eaf601  BCU
   403.100          74.165    -41.448   -112.583            6.393         3192.427      1.229      0.000      0.000    0.00475   23.75865  a68c82cf-50d9-4d72-b8e8-fb77b034ddcc  Decoder
   422.100          72.209    -42.670   -112.948            5.799         3331.748      1.265      0.000      0.000    0.00276   21.43127  e603a0ac-b50a-49ba-94e7-c8487de979d7  RTU
   399.100          74.525    -41.177   -112.503            6.508         3161.525      0.976      0.000      0.000    0.00562   24.17438  0e801314-4be9-4a8e-8863-be55cd8972a8  MBU
   409.100          73.602    -41.853   -112.702            6.596         3238.556      1.111      0.000      0.000    0.00526   24.37672  9da080c0-a677-4e48-9413-7396776e2156  X-PND1
   414.628          73.077    -42.221   -112.812            6.146         3280.542      1.242      0.000      0.000    0.00477   22.77870  c287fba3-8bbe-4179-bca3-e0297868e371  TRU1
   409.100          73.602    -41.853   -112.702            6.596         3238.556      1.111      0.000      0.000    0.00526   24.37672  937ad039-148d-4738-aeef-7ba048002fe8  X-PND2
   414.628          73.077    -42.221   -112.812            6.146         3280.542      1.242      0.000      0.000    0.00477   22.77870  197bea65-bd7c-4823-addb-ea50438d3765  TRU2
   406.100          73.977    -41.700   -112.657            7.174         3221.177      0.915      0.000      0.000    0.00236   26.50657  b9715501-449b-451c-a5a4-f4d9347e2f59  MTR1
   406.100          73.977    -41.700   -112.657            7.174         3221.177      0.915      0.000      0.000    0.00236   26.50657  84879cea-7d5c-4089-841e-3521c24c746a  MTR2
   406.100          73.977    -41.700   -112.657            7.174         3221.177      0.915      0.000      0.000    0.00236   26.50657  e7d005bd-2d30-4a52-9e61-1e8b09175adb  MTR3
   395.100          74.910    -40.923   -112.429            6.737         3132.554      1.004      0.000      0.000    0.00571   25.03168  0f2288de-76e2-422f-8b97-5b27ae9b0726  MRU
   415.100          72.932    -42.215   -112.810            6.088         3279.820      1.065      0.000      0.000    0.00411   22.50477  c190928b-6fde-4737-b38b-d6640dd3ce29  ACC
   420.100          72.301    -42.493   -112.894            5.376         3311.604      1.001      0.000      0.000    0.00264   19.92125  5bc781a5-30a8-496a-8919-d3a3bbe9e65a  PDU
   395.100          74.899    -40.912   -112.426            6.435         3131.290      0.928      0.000      0.000    0.00595   23.97897  8dd6e192-40c1-4d95-82a7-e0edd97e769a  Gyro2
   395.100          74.899    -40.912   -112.426            6.435         3131.290      0.928      0.000      0.000    0.00595   23.97897  bb912958-2642-4cbc-b737-06295400219b  Gyro1
   402.948          74.159    -41.425   -112.576            6.018         3189.770      1.097      0.000      0.000    0.00539   22.45241  73aad817-0c8f-4729-8cfc-bdb457fa3af1  RWE1
   402.948          74.159    -41.425   -112.576            6.018         3189.770      1.097      0.000      0.000    0.00539   22.45241  cbd88e14-9f02-4477-ba19-2ae766ccf9c2  RWE2
   397.100          74.749    -41.061   -112.469            6.354         3148.341      1.136      0.000      0.000    0.00694   23.74254  f846371b-1403-415a-b518-e78f9a87d5e8  STRE1
   397.100          74.749    -41.061   -112.469            6.354         3148.341      1.136      0.000      0.000    0.00694   23.74254  019e359a-7b6d-4e88-ae45-6c0cb1b9f231  STRE2
   397.100          74.749    -41.061   -112.469            6.354         3148.341      1.136      0.000      0.000    0.00694   23.74254  1c53a534-00ac-486c-b9b2-0e0baa3dd619  STRE3
   401.100          74.392    -41.337   -112.550            6.780         3179.737      1.136      0.000      0.000    0.00709   25.13897  cf475c8e-4dd9-43c4-93e1-443e41ca045a  STR1
   401.100          74.392    -41.337   -112.550            6.780         3179.737      1.136      0.000      0.000    0.00709   25.13897  b96f24b8-3482-41b4-8ff7-10c9d0096fe0  STR2
   401.100          74.392    -41.337   -112.550            6.780         3179.737      1.136      0.000      0.000    0.00709   25.13897  d97c8a48-c211-4c49-8222-dd2e42cdea91  STR3
   372.100          76.910    -39.420   -112.000            7.595         2961.373      0.912      0.000      0.000    0.01491   28.37748  59d481ee-9a4a-46ff-a838-aae6a28c6260  Thrsts01
   372.100          76.910    -39.420   -112.000            7.595         2961.373      0.912      0.000      0.000    0.01491   28.37748  620e19a4-466b-4bba-a398-8f525affac3d  Thrsts02
   372.100          76.910    -39.420   -112.000            7.595         2961.373      0.912      0.000      0.000    0.01491   28.37748  c416fe56-926f-46db-b927-4be42a4d9065  Thrsts03
   372.100          76.910    -39.420   -112.000            7.595         2961.373      0.912      0.000      0.000    0.01491   28.37748  aeb11028-b76a-43cd-a9d4-ee683f1705fa  Thrsts04
   372.100          76.910    -39.420   -112.000            7.595         2961.373      0.912      0.000      0.000    0.01491   28.37748  6667d821-b59b-4463-ac0a-bbbe54856cd6  Thrsts05
   372.100          76.910    -39.420   -112.000            7.595         2961.373      0.912      0.000      0.000    0.01491   28.37748  abab9127-0b6e-4497-9b6b-b68ba946f31a  Thrsts06
   372.100          76.910    -39.420   -112.000            7.595         2961.373      0.912      0.000      0.000    0.01491   28.37748  665b0c33-d97a-48c7-94c9-0244f53f9b66  Thrsts07
   372.100          76.910    -39.420   -112.000            7.595         2961.373      0.912      0.000      0.000    0.01491   28.37748  7ecbb7cf-716a-48b1-9a41-06240e41c6b3  Thrsts08
   372.100          76.910    -39.420   -112.000            7.595         2961.373      0.912      0.000      0.000    0.01491   28.37748  64430daf-7a7f-4d86-a819-ffba0dc23fb2  Thrsts09
   372.100          76.910    -39.420   -112.000            7.595         2961.373      0.912      0.000      0.000    0.01491   28.37748  6e3d1bbb-13e9-4442-964d-844681a58ed3  Thrsts10
   372.100          76.910    -39.420   -112.000            7.595         2961.373      0.912      0.000      0.000    0.01491   28.37748  154facb8-7f48-4d67-90e6-840ed3871701  Thrsts11
   372.100          76.910    -39.420   -112.000            7.595         2961.373      0.912      0.000      0.000    0.01491   28.37748  4461046c-8760-4cb2-890e-6f23af75245d  Thrsts12
   406.100          73.841    -41.625   -112.635            5.971         3212.599      1.051      0.000      0.000    0.00476   22.23956  6eeaa09a-906e-4f96-a8c8-21bf581813b5  PLE3
  2293.053           4.831    -44.885   -113.637            0.008         3584.434      0.513      0.000      0.000    0.00000    0.02599  a01ccfa4-f683-4afb-ba27-6505203cee73  PL3
   408.100          73.718    -41.794   -112.685            6.612         3231.829      0.900      0.000      0.000    0.00432   24.46367  c5961bc0-58db-4518-85cb-9d7fef46573c  PL4a1
   408.100          73.718    -41.794   -112.685            6.612         3231.829      0.900      0.000      0.000    0.00432   24.46367  472587ed-e637-49d6-9630-2ab84943f807  PL4a2
   408.100          73.718    -41.794   -112.685            6.612         3231.829      0.900      0.000      0.000    0.00432   24.46367  d0247ab6-f3f0-4a2e-88f3-b40a9f9c2f8b  PL4a3
   408.100          73.718    -41.794   -112.685            6.612         3231.829      0.900      0.000      0.000    0.00432   24.46367  d7860001-2d1f-4f10-9b6b-132541453973  PL4a4
   384.100          75.913    -40.217   -112.226            7.163         3052.131      0.898      0.000      0.000    0.00934   26.70386  bee5e541-a026-4d56-9efc-2d0ff76a9365  PL4b1
   384.100          75.913    -40.217   -112.226            7.163         3052.131      0.898      0.000      0.000    0.00934   26.70386  63bdbfe0-5407-438d-b310-a798cd3ae679  PL4b2
   384.100          75.913    -40.217   -112.226            7.163         3052.131      0.898      0.000      0.000    0.00934   26.70386  b78c86b8-baea-46f4-bff5-e29a3c50d235  PL4b3
   385.431          75.800    -40.306   -112.251            6.714         3062.225      0.898      0.000      0.000    0.00917   25.15825  6a53677c-cbe4-409e-a37a-d7b94566fcde  PL4b4
   377.100          76.494    -39.722   -112.085            6.670         2995.710      0.910      0.000      0.000    0.00642   25.01506  e97e0bad-27a1-41c8-9d5a-9b47ac34faa9  PLE3c
   411.300          73.321    -41.969   -112.737            5.909         3251.846      1.095      0.000      0.000    0.00352   21.88219  56f0d198-bc1f-47a6-b695-7e804d590123  PLE3b
