#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                         ---- DRAMA ( SESAM r2.3.0 ) ----
#                                      ESA 2018
#
#                         final state of uncritical objects
#-------------------------------------------------------------------------------
# Filename      : uncriticalData.txt
# RunID         : PySara
# Content       : This file lists the uncritical objects (kin. energy < 15 J),
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach                UniqueID                  Name
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   430.100          72.305    -43.247   -113.124            5.969         3397.537      1.204      0.000      0.000    0.00410   19.52199  c819661c-34ef-46e7-b1eb-890ade42e3af  PCU
   414.613          73.705    -42.207   -112.808            5.696         3278.950      1.041      0.000      0.000    0.00434   18.78338  c0ddc3c0-47ce-435f-9deb-b33486eaf601  BCU
  1361.500          14.437    -45.490   -113.835            0.015         3653.603      0.502      0.000      0.000    0.00000    0.04723  1f19522d-2f3c-43e6-a00c-b01d1ab94228  PPDU
   430.300          72.235    -43.243   -113.123            5.285         3397.065      1.229      0.000      0.000    0.00356   17.35638  a68c82cf-50d9-4d72-b8e8-fb77b034ddcc  Decoder
  1510.940          10.147    -46.881   -114.300            0.013         3812.517      0.577      0.000      0.000    0.00000    0.04101  56f33935-71e7-4b62-bc25-5f086ef8f008  CTU
   440.100          71.284    -43.888   -113.324            5.563         3470.735      1.111      0.000      0.000    0.00375   18.15465  9da080c0-a677-4e48-9413-7396776e2156  X-PND1
   447.253          70.600    -44.368   -113.475            4.957         3525.490      1.242      0.000      0.000    0.00333   16.18720  c287fba3-8bbe-4179-bca3-e0297868e371  TRU1
   440.100          71.284    -43.888   -113.324            5.563         3470.735      1.111      0.000      0.000    0.00375   18.15465  937ad039-148d-4738-aeef-7ba048002fe8  X-PND2
   447.253          70.600    -44.368   -113.475            4.957         3525.490      1.242      0.000      0.000    0.00333   16.18720  197bea65-bd7c-4823-addb-ea50438d3765  TRU2
   439.300          71.671    -43.937   -113.340            6.150         3476.347      0.915      0.000      0.000    0.00168   20.15699  b9715501-449b-451c-a5a4-f4d9347e2f59  MTR1
