object_number,drag,hf_global,hf_CT,hf_TR,hf_FM,mass,density
0,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,500.0,1.0210264247983654
1,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,33.0,1.0210264247983654
2,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,5.0,1.0210264247983654
3,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,19.0,1.0210264247983654
4,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,4.0,1.0210264247983654
5,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,13.0,1.0210264247983654
6,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,50.0,1.0210264247983654
7,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,50.0,1.0210264247983654
8,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,6.0,1.0210264247983654
9,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,17.0,1.0210264247983654
10,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,13.5,1.0210264247983654
11,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,4.0,1.0210264247983654
12,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,5.0,1.0210264247983654
13,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,6.7,1.0210264247983654
14,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,5.0,1.0210264247983654
15,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,6.7,1.0210264247983654
16,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,2.2,1.0210264247983654
17,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,2.2,1.0210264247983654
18,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,2.2,1.0210264247983654
19,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,3.5,1.0210264247983654
20,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,6.5,1.0210264247983654
21,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,11.3,1.0210264247983654
22,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,3.3,1.0210264247983654
23,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,3.3,1.0210264247983654
24,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,6.1,1.0210264247983654
25,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,6.1,1.0210264247983654
26,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,6.1,1.0210264247983654
27,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,4.5,1.0210264247983654
28,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,4.5,1.0210264247983654
29,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,3.3,1.0210264247983654
30,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,3.3,1.0210264247983654
31,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,3.3,1.0210264247983654
32,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,3.0,1.0210264247983654
33,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,3.0,1.0210264247983654
34,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,3.0,1.0210264247983654
35,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,20.0,1.0210264247983654
36,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,20.0,1.0210264247983654
37,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,20.0,1.0210264247983654
38,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,20.0,1.0210264247983654
39,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,0.3,1.0210264247983654
40,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,0.3,1.0210264247983654
41,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,0.3,1.0210264247983654
42,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,0.3,1.0210264247983654
43,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,0.3,1.0210264247983654
44,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,0.3,1.0210264247983654
45,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,0.3,1.0210264247983654
46,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,0.3,1.0210264247983654
47,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,0.3,1.0210264247983654
48,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,0.3,1.0210264247983654
49,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,0.3,1.0210264247983654
50,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,0.3,1.0210264247983654
51,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,18.0,1.0210264247983654
52,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,15.5,1.0210264247983654
53,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,5.3,1.0210264247983654
54,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,45.0,1.0210264247983654
55,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,6.283,1.0210264247983654
56,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,6.283,1.0210264247983654
57,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,6.283,1.0210264247983654
58,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,6.283,1.0210264247983654
59,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,1.9,1.0210264247983654
60,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,1.9,1.0210264247983654
61,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,1.9,1.0210264247983654
62,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,2.0,1.0210264247983654
63,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,18.0,1.0210264247983654
64,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,1.9,1.0210264247983654
65,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,8.0,1.0210264247983654
66,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,50.0,1.0210264247983654
67,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,67.512,1.0210264247983654
68,1.0,1.0,1.0848926404658383,1.1355342563136328,1.0780323057074523,67.512,1.0210264247983654
