#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                         ---- DRAMA ( SESAM r2.3.0 ) ----
#                                      ESA 2018
#
#                         final state of uncritical objects
#-------------------------------------------------------------------------------
# Filename      : uncriticalData.txt
# RunID         : PySara
# Content       : This file lists the uncritical objects (kin. energy < 15 J),
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach                UniqueID                  Name
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   411.100          74.329    -42.064   -112.766            6.831         3262.693      1.204      0.000      0.000    0.00553   21.98635  c819661c-34ef-46e7-b1eb-890ade42e3af  PCU
   399.100          75.277    -41.252   -112.525            6.914         3170.090      1.041      0.000      0.000    0.00550   22.32681  c0ddc3c0-47ce-435f-9deb-b33486eaf601  BCU
   430.482          72.457    -43.289   -113.138            5.793         3402.400      1.004      0.000      0.000    0.00255   18.56179  1f19522d-2f3c-43e6-a00c-b01d1ab94228  PPDU
  2224.767           1.538    -48.796   -114.977            0.009         4031.596      0.493      0.000      0.000    0.00000    0.02452  af198f6d-3064-4af9-b015-299d247ceb1c  Batt1
  2224.767           1.538    -48.796   -114.977            0.009         4031.596      0.493      0.000      0.000    0.00000    0.02452  d16b1e16-5604-4ba9-b689-56da46d221ab  Batt2
   411.100          74.316    -42.056   -112.763            6.476         3261.690      1.229      0.000      0.000    0.00485   20.93930  a68c82cf-50d9-4d72-b8e8-fb77b034ddcc  Decoder
   447.100          70.974    -44.409   -113.489            6.080         3530.235      1.154      0.000      0.000    0.00211   19.29296  56f33935-71e7-4b62-bc25-5f086ef8f008  CTU
   430.300          72.618    -43.321   -113.148            5.934         3406.004      1.265      0.000      0.000    0.00293   19.08187  e603a0ac-b50a-49ba-94e7-c8487de979d7  RTU
   407.100          74.626    -41.779   -112.681            6.308         3230.146      0.976      0.000      0.000    0.00571   20.46844  0e801314-4be9-4a8e-8863-be55cd8972a8  MBU
   418.271          73.730    -42.543   -112.910            5.959         3317.248      1.111      0.000      0.000    0.00536   19.35703  9da080c0-a677-4e48-9413-7396776e2156  X-PND1
   424.100          73.254    -42.937   -113.030            6.761         3362.162      1.242      0.000      0.000    0.00490   21.65441  c287fba3-8bbe-4179-bca3-e0297868e371  TRU1
   418.271          73.730    -42.543   -112.910            5.959         3317.248      1.111      0.000      0.000    0.00536   19.35703  937ad039-148d-4738-aeef-7ba048002fe8  X-PND2
   424.100          73.254    -42.937   -113.030            6.761         3362.162      1.242      0.000      0.000    0.00490   21.65441  197bea65-bd7c-4823-addb-ea50438d3765  TRU2
   417.100          73.923    -42.505   -112.898            7.424         3312.941      0.915      0.000      0.000    0.00234   23.75022  b9715501-449b-451c-a5a4-f4d9347e2f59  MTR1
   417.100          73.923    -42.505   -112.898            7.424         3312.941      0.915      0.000      0.000    0.00234   23.75022  84879cea-7d5c-4089-841e-3521c24c746a  MTR2
   417.100          73.923    -42.505   -112.898            7.424         3312.941      0.915      0.000      0.000    0.00234   23.75022  e7d005bd-2d30-4a52-9e61-1e8b09175adb  MTR3
   402.977          74.976    -41.511   -112.602            6.383         3199.639      1.004      0.000      0.000    0.00576   20.74752  0f2288de-76e2-422f-8b97-5b27ae9b0726  MRU
   423.100          73.249    -42.842   -113.001            6.570         3351.360      1.065      0.000      0.000    0.00430   21.04633  c190928b-6fde-4737-b38b-d6640dd3ce29  ACC
   427.525          72.754    -43.101   -113.080            5.877         3380.978      1.001      0.000      0.000    0.00282   18.86454  5bc781a5-30a8-496a-8919-d3a3bbe9e65a  PDU
   402.100          75.032    -41.451   -112.584            6.914         3192.772      0.928      0.000      0.000    0.00607   22.29142  8dd6e192-40c1-4d95-82a7-e0edd97e769a  Gyro2
   402.100          75.032    -41.451   -112.584            6.914         3192.772      0.928      0.000      0.000    0.00607   22.29142  bb912958-2642-4cbc-b737-06295400219b  Gyro1
  1373.312           8.824    -45.911   -113.972            0.015         3701.674      0.535      0.000      0.000    0.00000    0.04637  318234c8-2183-4007-81bb-1283b9ac978d  RWL1
  1373.312           8.824    -45.911   -113.972            0.015         3701.674      0.535      0.000      0.000    0.00000    0.04637  a40b1f77-c92a-4243-81e3-b466a50bfde1  RWL2
  1373.312           8.824    -45.911   -113.972            0.015         3701.674      0.535      0.000      0.000    0.00000    0.04637  119d8c8d-71bc-47b0-a9bd-51a2b6addec4  RWL3
   410.370          74.353    -42.002   -112.747            6.411         3255.521      1.097      0.000      0.000    0.00554   20.69729  73aad817-0c8f-4729-8cfc-bdb457fa3af1  RWE1
