#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                         ---- DRAMA ( SESAM r2.3.0 ) ----
#                                      ESA 2018
#
#                         final state of uncritical objects
#-------------------------------------------------------------------------------
# Filename      : uncriticalData.txt
# RunID         : PySara
# Content       : This file lists the uncritical objects (kin. energy < 15 J),
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach                UniqueID                  Name
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   408.355          73.372    -41.758   -112.674            5.935         3227.740      1.204      0.000      0.000    0.00479   22.75631  c819661c-34ef-46e7-b1eb-890ade42e3af  PCU
  2018.753           4.418    -44.793   -113.607            0.009         3574.023      0.467      0.000      0.000    0.00000    0.03182  ae939109-80e7-4590-ada6-8ab74859c3a8  BCDR
   396.637          74.522    -40.973   -112.443            5.853         3138.230      1.041      0.000      0.000    0.00490   22.61355  c0ddc3c0-47ce-435f-9deb-b33486eaf601  BCU
   408.911          73.290    -41.778   -112.680            5.743         3230.045      1.229      0.000      0.000    0.00416   22.09705  a68c82cf-50d9-4d72-b8e8-fb77b034ddcc  Decoder
  1141.453          22.424    -44.605   -113.548            0.019         3552.482      0.577      0.000      0.000    0.00000    0.07184  56f33935-71e7-4b62-bc25-5f086ef8f008  CTU
   404.837          73.683    -41.499   -112.597            5.674         3198.186      0.976      0.000      0.000    0.00495   21.86337  0e801314-4be9-4a8e-8863-be55cd8972a8  MBU
   416.100          72.546    -42.255   -112.822            5.906         3284.373      1.111      0.000      0.000    0.00450   22.59324  9da080c0-a677-4e48-9413-7396776e2156  X-PND1
   421.984          71.932    -42.644   -112.940            5.692         3328.775      1.242      0.000      0.000    0.00404   21.77192  c287fba3-8bbe-4179-bca3-e0297868e371  TRU1
   416.100          72.546    -42.255   -112.822            5.906         3284.373      1.111      0.000      0.000    0.00450   22.59324  937ad039-148d-4738-aeef-7ba048002fe8  X-PND2
   421.984          71.932    -42.644   -112.940            5.692         3328.775      1.242      0.000      0.000    0.00404   21.77192  197bea65-bd7c-4823-addb-ea50438d3765  TRU2
   411.100          73.220    -42.004   -112.747            7.115         3255.849      0.915      0.000      0.000    0.00211   27.09446  b9715501-449b-451c-a5a4-f4d9347e2f59  MTR1
   411.100          73.220    -42.004   -112.747            7.115         3255.849      0.915      0.000      0.000    0.00211   27.09446  84879cea-7d5c-4089-841e-3521c24c746a  MTR2
