#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                         ---- DRAMA ( SESAM r2.3.0 ) ----
#                                      ESA 2018
#
#                         final state of ballooning objects
#-------------------------------------------------------------------------------
# Filename      : ballooningData.txt
# RunID         : PySara
# Content       : This file lists the ballooning objects,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach                UniqueID                  Name
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   434.227          71.239    -43.405   -113.173            2.186         3415.557      1.204      0.000      0.000    0.00351    7.62910  c819661c-34ef-46e7-b1eb-890ade42e3af  PCU
   418.654          72.805    -42.367   -112.856            2.484         3297.206      1.041      0.000      0.000    0.00379    8.76949  c0ddc3c0-47ce-435f-9deb-b33486eaf601  BCU
   435.764          70.988    -43.462   -113.190            2.447         3422.045      1.229      0.000      0.000    0.00297    8.51719  a68c82cf-50d9-4d72-b8e8-fb77b034ddcc  Decoder
   430.651          71.492    -43.088   -113.075            2.190         3379.461      0.976      0.000      0.000    0.00359    7.62904  0e801314-4be9-4a8e-8863-be55cd8972a8  MBU
   444.287          70.097    -44.016   -113.364            2.123         3485.297      1.111      0.000      0.000    0.00317    7.33525  9da080c0-a677-4e48-9413-7396776e2156  X-PND1
   452.470          69.188    -44.549   -113.532            2.130         3546.108      1.242      0.000      0.000    0.00274    7.32292  c287fba3-8bbe-4179-bca3-e0297868e371  TRU1
   444.287          70.097    -44.016   -113.364            2.123         3485.297      1.111      0.000      0.000    0.00317    7.33525  937ad039-148d-4738-aeef-7ba048002fe8  X-PND2
   452.470          69.188    -44.549   -113.532            2.130         3546.108      1.242      0.000      0.000    0.00274    7.32292  197bea65-bd7c-4823-addb-ea50438d3765  TRU2
   423.334          72.351    -42.683   -112.951            2.208         3333.177      1.004      0.000      0.000    0.00389    7.74411  0f2288de-76e2-422f-8b97-5b27ae9b0726  MRU
   423.548          72.271    -42.655   -112.943            2.392         3330.079      0.928      0.000      0.000    0.00402    8.38453  8dd6e192-40c1-4d95-82a7-e0edd97e769a  Gyro2
   423.548          72.271    -42.655   -112.943            2.392         3330.079      0.928      0.000      0.000    0.00402    8.38453  bb912958-2642-4cbc-b737-06295400219b  Gyro1
   436.697          70.787    -43.450   -113.187            2.332         3420.779      1.097      0.000      0.000    0.00329    8.08840  73aad817-0c8f-4729-8cfc-bdb457fa3af1  RWE1
   436.697          70.787    -43.450   -113.187            2.332         3420.779      1.097      0.000      0.000    0.00329    8.08840  cbd88e14-9f02-4477-ba19-2ae766ccf9c2  RWE2
   420.394          72.793    -42.558   -112.914            2.105         3318.946      1.136      0.000      0.000    0.00518    7.41805  f846371b-1403-415a-b518-e78f9a87d5e8  STRE1
   420.394          72.793    -42.558   -112.914            2.105         3318.946      1.136      0.000      0.000    0.00518    7.41805  019e359a-7b6d-4e88-ae45-6c0cb1b9f231  STRE2
   420.394          72.793    -42.558   -112.914            2.105         3318.946      1.136      0.000      0.000    0.00518    7.41805  1c53a534-00ac-486c-b9b2-0e0baa3dd619  STRE3
   443.035          69.955    -43.799   -113.295            2.448         3460.504      1.051      0.000      0.000    0.00271    8.43631  6eeaa09a-906e-4f96-a8c8-21bf581813b5  PLE3
   442.692          70.337    -43.957   -113.345            2.064         3478.637      0.900      0.000      0.000    0.00264    7.14711  c5961bc0-58db-4518-85cb-9d7fef46573c  PL4a1
   442.692          70.337    -43.957   -113.345            2.064         3478.637      0.900      0.000      0.000    0.00264    7.14711  472587ed-e637-49d6-9630-2ab84943f807  PL4a2
   442.692          70.337    -43.957   -113.345            2.064         3478.637      0.900      0.000      0.000    0.00264    7.14711  d0247ab6-f3f0-4a2e-88f3-b40a9f9c2f8b  PL4a3
   442.692          70.337    -43.957   -113.345            2.064         3478.637      0.900      0.000      0.000    0.00264    7.14711  d7860001-2d1f-4f10-9b6b-132541453973  PL4a4
   393.614          75.267    -40.757   -112.381            2.414         3113.641      0.910      0.000      0.000    0.00532    8.60539  e97e0bad-27a1-41c8-9d5a-9b47ac34faa9  PLE3c
