#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                         ---- DRAMA ( SESAM r2.3.0 ) ----
#                                      ESA 2018
#
#                         final state of uncritical objects
#-------------------------------------------------------------------------------
# Filename      : uncriticalData.txt
# RunID         : PySara
# Content       : This file lists the uncritical objects (kin. energy < 15 J),
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach                UniqueID                  Name
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   420.100          72.684    -42.548   -112.911            5.688         3317.786      1.204      0.000      0.000    0.00433   20.33369  c819661c-34ef-46e7-b1eb-890ade42e3af  PCU
   406.100          74.023    -41.616   -112.632            5.940         3211.545      1.041      0.000      0.000    0.00455   21.28518  c0ddc3c0-47ce-435f-9deb-b33486eaf601  BCU
  1286.509          17.385    -44.557   -113.533            0.016         3547.091      0.502      0.000      0.000    0.00000    0.05524  1f19522d-2f3c-43e6-a00c-b01d1ab94228  PPDU
   420.100          72.647    -42.535   -112.907            5.668         3316.317      1.229      0.000      0.000    0.00379   20.23458  a68c82cf-50d9-4d72-b8e8-fb77b034ddcc  Decoder
  1404.885          13.463    -45.803   -113.937            0.014         3689.364      0.577      0.000      0.000    0.00000    0.04898  56f33935-71e7-4b62-bc25-5f086ef8f008  CTU
   429.100          71.723    -43.127   -113.087            5.627         3383.852      1.111      0.000      0.000    0.00399   19.99588  9da080c0-a677-4e48-9413-7396776e2156  X-PND1
   435.300          71.097    -43.542   -113.215            4.981         3431.199      1.242      0.000      0.000    0.00358   17.74608  c287fba3-8bbe-4179-bca3-e0297868e371  TRU1
   429.100          71.723    -43.127   -113.087            5.627         3383.852      1.111      0.000      0.000    0.00399   19.99588  937ad039-148d-4738-aeef-7ba048002fe8  X-PND2
   435.300          71.097    -43.542   -113.215            4.981         3431.199      1.242      0.000      0.000    0.00358   17.74608  197bea65-bd7c-4823-addb-ea50438d3765  TRU2
   425.100          72.376    -42.959   -113.036            6.837         3364.710      0.915      0.000      0.000    0.00186   24.20023  b9715501-449b-451c-a5a4-f4d9347e2f59  MTR1
   425.100          72.376    -42.959   -113.036            6.837         3364.710      0.915      0.000      0.000    0.00186   24.20023  84879cea-7d5c-4089-841e-3521c24c746a  MTR2
   425.100          72.376    -42.959   -113.036            6.837         3364.710      0.915      0.000      0.000    0.00186   24.20023  e7d005bd-2d30-4a52-9e61-1e8b09175adb  MTR3
   410.100          73.651    -41.886   -112.712            5.973         3242.355      1.004      0.000      0.000    0.00473   21.36381  0f2288de-76e2-422f-8b97-5b27ae9b0726  MRU
  1101.844          23.122    -44.256   -113.437            0.020         3512.668      0.501      0.000      0.000    0.00000    0.07091  5bc781a5-30a8-496a-8919-d3a3bbe9e65a  PDU
   410.100          73.616    -41.869   -112.707            5.775         3240.390      0.928      0.000      0.000    0.00491   20.67609  8dd6e192-40c1-4d95-82a7-e0edd97e769a  Gyro2
   410.100          73.616    -41.869   -112.707            5.775         3240.390      0.928      0.000      0.000    0.00491   20.67609  bb912958-2642-4cbc-b737-06295400219b  Gyro1
   416.100          73.076    -42.289   -112.833            6.011         3288.325      1.136      0.000      0.000    0.00541   21.44368  f846371b-1403-415a-b518-e78f9a87d5e8  STRE1
   416.100          73.076    -42.289   -112.833            6.011         3288.325      1.136      0.000      0.000    0.00541   21.44368  019e359a-7b6d-4e88-ae45-6c0cb1b9f231  STRE2
   416.100          73.076    -42.289   -112.833            6.011         3288.325      1.136      0.000      0.000    0.00541   21.44368  1c53a534-00ac-486c-b9b2-0e0baa3dd619  STRE3
   424.100          72.278    -42.818   -112.993            5.953         3348.625      1.136      0.000      0.000    0.00518   21.16645  cf475c8e-4dd9-43c4-93e1-443e41ca045a  STR1
   424.100          72.278    -42.818   -112.993            5.953         3348.625      1.136      0.000      0.000    0.00518   21.16645  b96f24b8-3482-41b4-8ff7-10c9d0096fe0  STR2
