object_number,drag,hf_global,hf_CT,hf_TR,hf_FM,mass,density
0,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,500.0,0.8828114279137296
1,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,33.0,0.8828114279137296
2,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,5.0,0.8828114279137296
3,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,19.0,0.8828114279137296
4,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,4.0,0.8828114279137296
5,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,13.0,0.8828114279137296
6,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,50.0,0.8828114279137296
7,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,50.0,0.8828114279137296
8,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,6.0,0.8828114279137296
9,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,17.0,0.8828114279137296
10,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,13.5,0.8828114279137296
11,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,4.0,0.8828114279137296
12,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,5.0,0.8828114279137296
13,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,6.7,0.8828114279137296
14,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,5.0,0.8828114279137296
15,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,6.7,0.8828114279137296
16,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,2.2,0.8828114279137296
17,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,2.2,0.8828114279137296
18,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,2.2,0.8828114279137296
19,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,3.5,0.8828114279137296
20,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,6.5,0.8828114279137296
21,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,11.3,0.8828114279137296
22,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,3.3,0.8828114279137296
23,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,3.3,0.8828114279137296
24,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,6.1,0.8828114279137296
25,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,6.1,0.8828114279137296
26,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,6.1,0.8828114279137296
27,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,4.5,0.8828114279137296
28,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,4.5,0.8828114279137296
29,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,3.3,0.8828114279137296
30,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,3.3,0.8828114279137296
31,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,3.3,0.8828114279137296
32,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,3.0,0.8828114279137296
33,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,3.0,0.8828114279137296
34,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,3.0,0.8828114279137296
35,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,20.0,0.8828114279137296
36,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,20.0,0.8828114279137296
37,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,20.0,0.8828114279137296
38,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,20.0,0.8828114279137296
39,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,0.3,0.8828114279137296
40,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,0.3,0.8828114279137296
41,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,0.3,0.8828114279137296
42,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,0.3,0.8828114279137296
43,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,0.3,0.8828114279137296
44,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,0.3,0.8828114279137296
45,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,0.3,0.8828114279137296
46,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,0.3,0.8828114279137296
47,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,0.3,0.8828114279137296
48,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,0.3,0.8828114279137296
49,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,0.3,0.8828114279137296
50,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,0.3,0.8828114279137296
51,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,18.0,0.8828114279137296
52,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,15.5,0.8828114279137296
53,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,5.3,0.8828114279137296
54,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,45.0,0.8828114279137296
55,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,6.283,0.8828114279137296
56,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,6.283,0.8828114279137296
57,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,6.283,0.8828114279137296
58,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,6.283,0.8828114279137296
59,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,1.9,0.8828114279137296
60,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,1.9,0.8828114279137296
61,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,1.9,0.8828114279137296
62,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,2.0,0.8828114279137296
63,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,18.0,0.8828114279137296
64,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,1.9,0.8828114279137296
65,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,8.0,0.8828114279137296
66,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,50.0,0.8828114279137296
67,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,67.512,0.8828114279137296
68,1.0,1.0,1.2262241468100377,0.8254813922029544,0.9230626423602893,67.512,0.8828114279137296
